brand_name_normalized,generic_names_normalized,registration_numbers,review_reason
andros,sildenafil (as citrate) | sildenafil citrate,DRP-3050 | DRP-3051,same_brand_name_has_multiple_generic_names
zoltax,cefuroxime (as axetil) | cefuroxime (as sodium),DR-XY32247 | DR-XY37463,same_brand_name_has_multiple_generic_names
medilexin,cefalexin (as monohydrate) | cefalexin (monohydrate),DR-XY32324 | DR-XY33480,same_brand_name_has_multiple_generic_names
kalanit,cetirizine dihydrochloride | cetirizine hydrochloride,DR-XY32437 | DRP-6260-01,same_brand_name_has_multiple_generic_names
mirtazapine,mirazep | novazapine-30,DR-XY32795 | DRP-14762,same_brand_name_has_multiple_generic_names
ketomed,ketorolac (as trometamol) | ketorolac trometamol,DR-XY32804 | DRP-1810,same_brand_name_has_multiple_generic_names
rhinol plus,guaifenesin + salbutamol | guiafenesin + salbutamol (as sulfate),DR-XY33210 | DR-XY33457,same_brand_name_has_multiple_generic_names
conzace,multivitamins + mineral | multivitamins + minerals,DR-XY33366 | DRP-14340,same_brand_name_has_multiple_generic_names
surecef,cefaclor | cefaclor (as monohydrate),DR-XY33504 | DR-XY35253,same_brand_name_has_multiple_generic_names
haxim,cefotaxime (as sodium) | cefotaxime sodium,DR-XY33532 | DR-XY34646,same_brand_name_has_multiple_generic_names
pediaclav,co-amoxiclav | co-amoxiclav (see reverse for formulation),DR-XY33625 | DRP-5966-23,same_brand_name_has_multiple_generic_names
neo-penotran forte-l,metronidazole + miconazole nitrate + lidocaine | metronodazole + miconazole nitrate + lidocaine,DR-XY33679 | DRP-12794,same_brand_name_has_multiple_generic_names
dayzinc,ascorbic acid + zinc | sodium ascorbate + ascorbic acid + zinc 56.24 mg/50 mg/10 mg per 5 ml syrup,DR-XY33767 | DRP-8467,same_brand_name_has_multiple_generic_names
vasalat,amlodipine (as besilate) | amlodipine(as besilate),DR-XY33804 | DR-XY33805,same_brand_name_has_multiple_generic_names
tamiflu,oseltamivir (as phospate) | oseltamivir (as phosphate),DR-XY34215 | DR-XY40612,same_brand_name_has_multiple_generic_names
pecof,salbutamol (as sulfate) + bromehexine hydrochloride + guaifenesin | salbutamol (as sulfate) + bromhexine + guaifenesin,DR-XY34286 | DRP-7977,same_brand_name_has_multiple_generic_names
korgivit-e forte,d-alpha tocopheryl acid succinate (vit. e) bee pollen | d-alpha tocopheryl acid succinate+korean ginseng+ bee pollen +lecithin+calcium pantothenate,DR-XY34430 | DR-XY41848,same_brand_name_has_multiple_generic_names
sterofundin iso,isotonic electrolyte solution (i.v.) | sodium chloride + potassium chloride + magnesium chloride hexahydrate + calcium chloride dihydrate + sodium acetate trihydrate + l-mlaic acid,DR-XY34691 | DR-XY46598,same_brand_name_has_multiple_generic_names
zynapse,citicoline | citicoline (as sodium),DR-XY34865 | DRP-434-01,same_brand_name_has_multiple_generic_names
gaviscon,sodium alginate + sodium bicarbonate + calcium carnonate | sodium alginate / sodium bicarbonate / calcium carbonate,DR-XY34907 | DR-XY35582,same_brand_name_has_multiple_generic_names
carezee,ascorbic acid | ascorbic acid (as sodium ascorbate),DR-XY35220 | DRHR-881,same_brand_name_has_multiple_generic_names
a.n.b.,0.9% sodium chloride | sterile water for injection,DR-XY35226 | DR-XY35229,same_brand_name_has_multiple_generic_names
trizef,cefpodoxime (as proxetil) | cefpodoxime proxetil,DR-XY35252 | DRP-7109-03,same_brand_name_has_multiple_generic_names
salmeflo,salmeterol (as xinafoate) + fluticasone propionate | salmeterol xinafoate + fluticasone propionate,DRP-1266 | DRP-6975,same_brand_name_has_multiple_generic_names
ceti-med,cetirizine (as dihydrochloride) | cetirizine dihydrochloride,DR-XY35277 | DR-XY36424,same_brand_name_has_multiple_generic_names
pulmodual,ipratropium (as bromide) + salbutamol (as sulfate) | salbutamol (as sulfate) + ipratropium (as bromide) | salbutamol (as sulfate) + ipratropium bromide,DR-XY35413 | DRP-12113-01 | DRP-1419-08,same_brand_name_has_multiple_generic_names
medzyme,cefuroxime (as axetil) | cefuroxime (as sodium),DR-XY47957 | DRP-884-08,same_brand_name_has_multiple_generic_names
symdex-d,paracetamol + phenylpropanolamine hydrochloride + chlorphenamine maleate | paracetamol/ phenylpropanolamine hydrochloride/ chlorphenamine maleate | phenylpropanolamine hcl+chlorphenamine maleate+paracetamol,DR-XY35512 | DR-XY47810 | DRP-035,same_brand_name_has_multiple_generic_names
hypetor,metoprolol | metoprolol tartrate,DR-XY35610 | DR-XY43790,same_brand_name_has_multiple_generic_names
zefuxim,cefuroxime (as sodium) | cefuroxime sodium,DR-XY36551 | DRP-1657,same_brand_name_has_multiple_generic_names
tazopen,piperacillin (as sodium) + tazobactam (as sodium) | piperacillin (as sodium) / tazobactam (as sodium),DR-XY35878 | DR-XY36130,same_brand_name_has_multiple_generic_names
h-one,cetirizine (as hydrochloride) | cetirizine dihydrochloride | cetirizine hydrochloride,DR-XY35936 | DR-XY37470 | DRP-262-01,same_brand_name_has_multiple_generic_names
