Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
methadone hydrochloride (Generic),methacholine chloride (Generic),Generic-to-Generic,0.9111,4,50%
Aricept (Brand),Viracept (Brand),Brand-to-Brand,0.9107,3,75%
elosulfase alfa (Generic),cerliponase alfa (Generic),Generic-to-Generic,0.9107,7,0%
ethacrynic acid (Generic),deoxycholic acid (Generic),Generic-to-Generic,0.9107,7,25%
Humalog Kwikpen (Brand),Basaglar Kwikpen (Brand),Brand-to-Brand,0.9107,6,0%
velmanase alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.9104,6,25%
phentermine hydrochloride (Generic),phendimetrazine tartrate (Generic),Generic-to-Generic,0.9103,6,75%
diatrizoate meglumine (Generic),iothalamate meglumine (Generic),Generic-to-Generic,0.91,7,25%
Suprax (Brand),Suprane (Brand),Brand-to-Brand,0.9095,2,75%
Veltin (Brand),Veltane (Brand),Brand-to-Brand,0.9095,2,100%
Acthar (Brand),Acthrel (Brand),Brand-to-Brand,0.9095,3,100%
Synalar (Brand),Synarel (Brand),Brand-to-Brand,0.9095,3,50%
cetuximab and hyaluronidase (Generic),atezolizumab and hyaluronidase (Generic),Generic-to-Generic,0.9092,7,50%
tretinoin and benzoyl pergolide (Generic),clindamycin and benzoyl pergolide (Generic),Generic-to-Generic,0.9092,9,0%
desogestrel and ethinyl estradiol (Generic),norgestimate and ethinyl estradiol (Generic),Generic-to-Generic,0.9091,9,50%
gadobenate dimeglumine (Generic),fosaprepitant dimeglumine (Generic),Generic-to-Generic,0.9088,11,25%
Erythrocin (Brand),erythropoietin (Generic),Brand-to-Generic,0.9086,5,100%
valsartan and hydrochlorothiazide (Generic),lisinopril and hydrochlorothiazide (Generic),Generic-to-Generic,0.9086,10,0%
asfotase alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.9082,7,25%
sulconazole nitrate (Generic),sertaconazole nitrate (Generic),Generic-to-Generic,0.908,4,25%
fluticasone propionate (Generic),halobetasol propionate (Generic),Generic-to-Generic,0.908,8,25%
drospirenone and estradiol (Generic),estradiol and norethindrone acetate (Generic),Generic-to-Generic,0.9069,20,0%
ceritinib (Generic),crizotinib (Generic),Generic-to-Generic,0.9067,3,50%
sebelipase alfa (Generic),cerliponase alfa (Generic),Generic-to-Generic,0.9067,5,50%
avalglucosidase alfa (Generic),pegunigalsidase alfa (Generic),Generic-to-Generic,0.9067,9,25%
nivolumab and hyaluronidase (Generic),amivantamab and hyaluronidase (Generic),Generic-to-Generic,0.9066,6,25%
adapalene and benzoyl pergolide (Generic),tretinoin and benzoyl pergolide (Generic),Generic-to-Generic,0.9065,9,0%
ketorolac promethazine (Generic),fosfomycin promethazine (Generic),Generic-to-Generic,0.9064,9,0%
isoflurane (Generic),sevoflurane (Generic),Generic-to-Generic,0.9061,3,50%
ivosidenib (Generic),vorasidenib (Generic),Generic-to-Generic,0.9061,3,50%
ixekizumab (Generic),bimekizumab (Generic),Generic-to-Generic,0.9061,2,50%
Genotropin (Brand),menotropins (Generic),Brand-to-Generic,0.9061,2,75%
teplizumab (Generic),mepolizumab (Generic),Generic-to-Generic,0.9061,2,75%
mepolizumab (Generic),nemolizumab (Generic),Generic-to-Generic,0.9061,2,50%
secukinumab (Generic),ustekinumab (Generic),Generic-to-Generic,0.9061,4,25%
