Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
asfotase alfa (Generic),efgartigimod alfa (Generic),Generic-to-Generic,0.901,11,0%
gadoterate meglumine (Generic),diatrizoate meglumine (Generic),Generic-to-Generic,0.901,7,25%
clobazam (Generic),clonazepam (Generic),Generic-to-Generic,0.9008,3,75%
Clarinex (Brand),cladribine (Generic),Brand-to-Generic,0.9008,4,50%
Claritin (Brand),cladribine (Generic),Brand-to-Generic,0.9008,3,50%
cetuximab and hyaluronidase (Generic),amivantamab and hyaluronidase (Generic),Generic-to-Generic,0.9005,8,25%
clomiphene citrate (Generic),arimoclomol citrate (Generic),Generic-to-Generic,0.9003,10,25%
Soma (Brand),Somavert (Brand),Brand-to-Brand,0.9,4,50%
Eovist (Brand),Evista (Brand),Brand-to-Brand,0.9,2,100%
Nexletol (Brand),Nexlizet (Brand),Brand-to-Brand,0.9,4,75%
Cystagon (Brand),Cystaran (Brand),Brand-to-Brand,0.9,2,75%
Clarinex (Brand),Claritin (Brand),Brand-to-Brand,0.9,3,75%
Naprosyn (Brand),naproxen sodium (Generic),Brand-to-Generic,0.9,2,100%
epoetin alfa (Generic),darbepoetin alfa (Generic),Generic-to-Generic,0.9,4,0%
follitropin alfa (Generic),thyrotropin alfa (Generic),Generic-to-Generic,0.9,5,50%
Stiolto Respimat (Brand),Combivent Respimat (Brand),Brand-to-Brand,0.9,8,0%
taliglucerase alfa (Generic),avalglucosidase alfa (Generic),Generic-to-Generic,0.9,7,0%
lotilaner ophthalmic solution (Generic),balanced salt solution (Generic),Generic-to-Generic,0.8998,11,0%
folic acid (Generic),Selenious Acid (Brand),Generic-to-Brand,0.8995,7,50%
mefenamic acid (Generic),tranexamic acid (Generic),Generic-to-Generic,0.8995,5,25%
olipudase alfa (Generic),sebelipase alfa (Generic),Generic-to-Generic,0.8995,6,0%
efgartigimod alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.8993,11,25%
carboprost promethazine (Generic),fosfomycin promethazine (Generic),Generic-to-Generic,0.8991,9,25%
Halcion (Brand),halcinonide (Generic),Brand-to-Generic,0.8987,4,100%
dornase alfa (Generic),cerliponase alfa (Generic),Generic-to-Generic,0.8987,6,25%
epoetin alfa (Generic),cerliponase alfa (Generic),Generic-to-Generic,0.8987,8,0%
folic acid (Generic),selenium acid (Generic),Generic-to-Generic,0.8985,6,25%
sebelipase alfa (Generic),darbepoetin alfa (Generic),Generic-to-Generic,0.8985,9,25%
ocrelizumab and hyaluronidase (Generic),trastuzumab and hyaluronidase (Generic),Generic-to-Generic,0.8985,6,0%
ruxolitinib (Generic),deuruxolitinib phosphate (Generic),Generic-to-Generic,0.8983,3,0%
Methadose (Brand),methoxsalen (Generic),Brand-to-Generic,0.8982,6,50%
Rimactane (Brand),rimantadine (Generic),Brand-to-Generic,0.8982,3,75%
Rimactane (Brand),rimantadine hydrochloride (Generic),Brand-to-Generic,0.8982,3,75%
etonogestrel and ethinyl estradiol (Generic),norethindrone and ethinyl estradiol (Generic),Generic-to-Generic,0.8978,12,0%
ofloxacin (Generic),ciprofloxacin (Generic),Generic-to-Generic,0.8974,4,25%
ofloxacin (Generic),ciprofloxacin hydrochloride (Generic),Generic-to-Generic,0.8974,4,25%
bexagliflozin (Generic),empagliflozin (Generic),Generic-to-Generic,0.8974,3,0%
bremelanotide (Generic),setmelanotide (Generic),Generic-to-Generic,0.8974,3,50%
carbamazepine (Generic),oxcarbazepine (Generic),Generic-to-Generic,0.8974,4,0%
mycophenolic acid (Generic),mycophenolate mofetil (Generic),Generic-to-Generic,0.8969,9,100%
mycophenolic acid (Generic),mycophenolate mofetil hydrochloride (Generic),Generic-to-Generic,0.8969,9,100%
Medrol (Brand),Demerol (Brand),Brand-to-Brand,0.8968,3,50%
ethacrynate sodium (Generic),ethacrynic acid (Generic),Generic-to-Generic,0.8967,6,100%
fenofibrate (Generic),Fenofibric Acid (Brand),Generic-to-Brand,0.8967,6,100%
hydromorphone hydrochloride (Generic),hydrocortisone (Generic),Generic-to-Generic,0.8967,4,75%
hydromorphone hydrochloride (Generic),hydrocortisone acetate (Generic),Generic-to-Generic,0.8967,4,75%
hydromorphone hydrochloride (Generic),hydrocortisone sodium succinate (Generic),Generic-to-Generic,0.8967,4,75%
hydromorphone hydrochloride (Generic),Hydrocortisone Valerate (Brand),Generic-to-Brand,0.8967,4,75%
hydromorphone hydrochloride (Generic),Hydrocortisone Valerate Cream (Brand),Generic-to-Brand,0.8967,4,75%
asfotase alfa (Generic),velmanase alfa (Generic),Generic-to-Generic,0.8965,6,0%
Skyla (Brand),Skyclarys (Brand),Brand-to-Brand,0.8963,4,25%
cangrelor (Generic),ticagrelor (Generic),Generic-to-Generic,0.8963,3,50%
ceritinib (Generic),pacritinib (Generic),Generic-to-Generic,0.8963,3,0%
lorazepam (Generic),clonazepam (Generic),Generic-to-Generic,0.8963,2,0%
neratinib (Generic),fedratinib hydrochloride (Generic),Generic-to-Generic,0.8963,2,0%
oxycodone (Generic),Roxicodone (Brand),Generic-to-Brand,0.8963,2,75%
riociguat (Generic),vericiguat (Generic),Generic-to-Generic,0.8963,3,25%
isatuximab (Generic),siltuximab (Generic),Generic-to-Generic,0.8963,3,50%
Depo-Medrol (Brand),Depo-Estradiol (Brand),Brand-to-Brand,0.8962,6,75%
tividenofusp alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.8962,10,25%
velaglucerase alfa (Generic),cipaglucosidase alfa (Generic),Generic-to-Generic,0.8958,7,50%
folic acid (Generic),azelaic acid (Generic),Generic-to-Generic,0.8956,4,25%
zoledronic acid (Generic),deoxycholic acid (Generic),Generic-to-Generic,0.8956,7,0%
asfotase alfa (Generic),elosulfase alfa (Generic),Generic-to-Generic,0.8954,6,0%
brentuximab vedotin (Generic),polatuzumab vedotin (Generic),Generic-to-Generic,0.8953,6,0%
hydroxyzine pamoate (Generic),triptorelin pamoate (Generic),Generic-to-Generic,0.8953,9,0%
teplizumab (Generic),tezepelumab (Generic),Generic-to-Generic,0.8952,5,25%
Cycloserine (Brand),cyclobenzaprine hydrochloride (Generic),Brand-to-Generic,0.8952,5,75%
cetuximab and hyaluronidase (Generic),trastuzumab and hyaluronidase (Generic),Generic-to-Generic,0.8947,6,25%
nivolumab and hyaluronidase (Generic),trastuzumab and hyaluronidase (Generic),Generic-to-Generic,0.8946,7,0%
Breyna (Brand),Brekiya (Brand),Brand-to-Brand,0.8944,3,75%
Veltin (Brand),Veletri (Brand),Brand-to-Brand,0.8944,3,75%
Demser (Brand),Demerol (Brand),Brand-to-Brand,0.8944,3,50%
Elitek (Brand),Elimite (Brand),Brand-to-Brand,0.8944,3,50%
Velban (Brand),Veltane (Brand),Brand-to-Brand,0.8944,2,75%
carglumic acid (Generic),deoxycholic acid (Generic),Generic-to-Generic,0.894,9,50%
clindamycin and benzoyl pergolide (Generic),erythromycin and benzoyl pergolide (Generic),Generic-to-Generic,0.894,7,0%
adapalene and benzoyl pergolide (Generic),clindamycin and benzoyl pergolide (Generic),Generic-to-Generic,0.8938,9,0%
carglumic acid (Generic),mycophenolic acid (Generic),Generic-to-Generic,0.8937,9,0%
diatrizoate meglumine (Generic),delafloxacin meglumine (Generic),Generic-to-Generic,0.8937,10,25%
olipudase alfa (Generic),darbepoetin alfa (Generic),Generic-to-Generic,0.8934,10,25%
Varubi (Brand),valrubicin (Generic),Brand-to-Generic,0.8933,4,25%
nifedipine (Generic),nimodipine (Generic),Generic-to-Generic,0.8933,2,75%
palifermin (Generic),paliperidone (Generic),Generic-to-Generic,0.8933,5,100%
velaglucerase alfa (Generic),efbemalenograstim alfa (Generic),Generic-to-Generic,0.8933,12,25%
eltrombopag (Generic),lusutrombopag (Generic),Generic-to-Generic,0.8928,4,50%
iloperidone (Generic),milsaperidone (Generic),Generic-to-Generic,0.8928,3,25%
nemolizumab (Generic),pembrolizumab (Generic),Generic-to-Generic,0.8928,3,25%
risperidone (Generic),milsaperidone (Generic),Generic-to-Generic,0.8928,3,0%
ranibizumab (Generic),risankizumab (Generic),Generic-to-Generic,0.8927,4,50%
neratinib (Generic),ensartinib (Generic),Generic-to-Generic,0.8926,4,0%
elosulfase alfa (Generic),sebelipase alfa (Generic),Generic-to-Generic,0.8925,7,0%
darbepoetin alfa (Generic),follitropin alfa (Generic),Generic-to-Generic,0.8924,9,0%
Infuvite Pediatric (Brand),Prostin Vr Pediatric (Brand),Brand-to-Brand,0.8923,9,0%
taliglucerase alfa (Generic),pegunigalsidase alfa (Generic),Generic-to-Generic,0.8923,10,0%
eletriptan hydrobromide (Generic),fosdenopterin hydrobromide (Generic),Generic-to-Generic,0.8918,10,25%
Celexa (Brand),Celebrex (Brand),Brand-to-Brand,0.8917,4,50%
Mitigo (Brand),Mitigare (Brand),Brand-to-Brand,0.8917,3,75%
Neupro (Brand),Neupogen (Brand),Brand-to-Brand,0.8917,4,50%
Granix (Brand),Granisol (Brand),Brand-to-Brand,0.8917,3,100%
Thiola (Brand),thiotepa (Generic),Brand-to-Generic,0.8917,3,50%
Ambien (Brand),Ambisome (Brand),Brand-to-Brand,0.8917,4,75%
Cycloset (Brand),cyclosporine (Generic),Brand-to-Generic,0.8917,6,100%
Asparlas (Brand),asparaginase (Generic),Brand-to-Generic,0.8917,5,100%
Methylin (Brand),methacholine chloride (Generic),Brand-to-Generic,0.8917,5,50%
Larotid (Brand),laronidase (Generic),Brand-to-Generic,0.8914,4,75%
Zestril (Brand),Zestoretic (Brand),Brand-to-Brand,0.8914,4,100%
Pitocin (Brand),pitolisant hydrochloride (Generic),Brand-to-Generic,0.8914,4,50%
deferiprone (Generic),deferoxamine mesylate (Generic),Generic-to-Generic,0.8914,5,75%
methylene blue (Generic),methylphenidate (Generic),Generic-to-Generic,0.8914,7,75%
methylene blue (Generic),methylphenidate hydrochloride (Generic),Generic-to-Generic,0.8914,7,75%
Carboprost Tromethamine (Brand),Fosfomycin Tromethamine (Brand),Brand-to-Brand,0.8912,9,25%
deferasirox (Generic),deferiprone (Generic),Generic-to-Generic,0.8909,5,75%
hydralazine hydrochloride (Generic),hydroxyzine (Generic),Generic-to-Generic,0.8909,3,75%
hydralazine hydrochloride (Generic),hydroxyzine hydrochloride (Generic),Generic-to-Generic,0.8909,3,75%
hydroxyurea (Generic),hydroxyzine (Generic),Generic-to-Generic,0.8909,4,100%
hydroxyurea (Generic),hydroxyzine hydrochloride (Generic),Generic-to-Generic,0.8909,4,100%
mefenamic acid (Generic),Fenofibric Acid (Brand),Generic-to-Brand,0.8908,7,0%
tamoxifen citrate (Generic),sildenafil citrate (Generic),Generic-to-Generic,0.8906,9,0%
ketorolac promethazine (Generic),fostemsavir promethazine (Generic),Generic-to-Generic,0.8906,10,0%
Zevtera (Brand),Zerviate (Brand),Brand-to-Brand,0.8905,5,25%
Silenor (Brand),selinexor (Generic),Brand-to-Generic,0.8905,4,75%
Ferrlecit (Brand),ferric maltol (Generic),Brand-to-Generic,0.8903,8,50%
Doptelet Sprinkle (Brand),Ingrezza Sprinkle (Brand),Brand-to-Brand,0.8902,7,0%
Pristiq Extended-Release (Brand),Erzofri Extended-Release (Brand),Brand-to-Brand,0.8902,6,50%
betamethasone valproate (Generic),hydrocortisone valproate (Generic),Generic-to-Generic,0.89,10,25%
beractant alfa (Generic),velmanase alfa (Generic),Generic-to-Generic,0.8899,7,0%
carglumic acid (Generic),mefenamic acid (Generic),Generic-to-Generic,0.8899,6,0%
olmesartan medoxomil (Generic),azilsartan kamedoxomil (Generic),Generic-to-Generic,0.8898,6,25%
clonazepam (Generic),clorazepate potassium (Generic),Generic-to-Generic,0.8897,3,75%
laronidase (Generic),hyaluronidase (Generic),Generic-to-Generic,0.8897,4,0%
zoledronic acid (Generic),mycophenolic acid (Generic),Generic-to-Generic,0.8897,8,0%
Ketorolac Tromethamine (Brand),Fosfomycin Tromethamine (Brand),Brand-to-Brand,0.8897,9,0%
azelaic acid (Generic),carglumic acid (Generic),Generic-to-Generic,0.8894,5,0%
tamoxifen citrate (Generic),arimoclomol citrate (Generic),Generic-to-Generic,0.8894,9,0%
cerliponase alfa (Generic),cipaglucosidase alfa (Generic),Generic-to-Generic,0.8893,9,25%
risedronate sodium (Generic),risperidone (Generic),Generic-to-Generic,0.8892,6,75%
Erzofri Extended-Release (Brand),Jornay Pm Extended-Release (Brand),Brand-to-Brand,0.8892,8,50%
alitretinoin (Generic),isotretinoin (Generic),Generic-to-Generic,0.8889,3,50%
efgartigimod alfa (Generic),tividenofusp alfa (Generic),Generic-to-Generic,0.8882,12,25%
Leukine (Brand),Leukeran (Brand),Brand-to-Brand,0.8881,4,50%
valacyclovir hydrochloride (Generic),valganciclovir (Generic),Generic-to-Generic,0.8881,3,75%
valacyclovir hydrochloride (Generic),valganciclovir hydrochloride (Generic),Generic-to-Generic,0.8881,3,75%
hydrocortisone (Generic),hydroxychloroquine sulfate (Generic),Generic-to-Generic,0.8881,8,100%
hydrocortisone acetate (Generic),hydroxychloroquine sulfate (Generic),Generic-to-Generic,0.8881,8,100%
hydrocortisone sodium succinate (Generic),hydroxychloroquine sulfate (Generic),Generic-to-Generic,0.8881,8,100%
Hydrocortisone Valerate (Brand),hydroxychloroquine sulfate (Generic),Brand-to-Generic,0.8881,8,100%
Hydrocortisone Valerate Cream (Brand),hydroxychloroquine sulfate (Generic),Brand-to-Generic,0.8881,8,100%
olipudase alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.888,8,0%
bupropion hydrobromide (Generic),eletriptan hydrobromide (Generic),Generic-to-Generic,0.8879,7,0%
asfotase alfa (Generic),tividenofusp alfa (Generic),Generic-to-Generic,0.8877,10,0%
ethinyl estradiol (Generic),estradiol cypionate (Generic),Generic-to-Generic,0.8877,15,25%
Adbry (Brand),Andembry (Brand),Brand-to-Brand,0.8875,3,25%
follitropin alfa (Generic),efgartigimod alfa (Generic),Generic-to-Generic,0.887,11,25%
Alkindi Sprinkle (Brand),Doptelet Sprinkle (Brand),Brand-to-Brand,0.887,8,0%
amivantamab and hyaluronidase (Generic),trastuzumab and hyaluronidase (Generic),Generic-to-Generic,0.8869,8,0%
ciclopirox dopamine (Generic),eltrombopag dopamine (Generic),Generic-to-Generic,0.8868,10,0%
Panretin (Brand),paroxetine (Generic),Brand-to-Generic,0.8867,4,50%
Panretin (Brand),paroxetine hydrochloride (Generic),Brand-to-Generic,0.8867,4,50%
dopamine hydrochloride (Generic),dobutamine (Generic),Generic-to-Generic,0.8867,3,75%
dopamine hydrochloride (Generic),dobutamine hydrochloride (Generic),Generic-to-Generic,0.8867,3,75%
methamphetamine hydrochloride (Generic),methylphenidate (Generic),Generic-to-Generic,0.8867,7,75%
methamphetamine hydrochloride (Generic),methylphenidate hydrochloride (Generic),Generic-to-Generic,0.8867,7,75%
estradiol and levonorgestrel (Generic),norgestrel and ethinyl estradiol (Generic),Generic-to-Generic,0.8865,19,0%
Desferal (Brand),desflurane (Generic),Brand-to-Generic,0.8864,4,75%
glucagon (Generic),Glucophage (Brand),Generic-to-Brand,0.8864,5,75%
glucagon (Generic),Glucophage (Brand),Generic-to-Brand,0.8864,5,75%
Prilosec (Brand),prilocaine hydrochloride (Generic),Brand-to-Generic,0.8864,5,100%
Metopirone (Brand),metoclopramide hydrochloride (Generic),Brand-to-Generic,0.8863,8,50%
enfortumab vedotin (Generic),telisotuzumab vedotin (Generic),Generic-to-Generic,0.8863,7,0%
lotilaner ophthalmic solution (Generic),cyclosporine ophthalmic solution (Generic),Generic-to-Generic,0.8863,9,25%
adapalene and benzoyl pergolide (Generic),erythromycin and benzoyl pergolide (Generic),Generic-to-Generic,0.8862,12,0%
desmopressin acetate oral solution (Generic),granules for oral solution (Generic),Generic-to-Generic,0.8861,11,25%
cefixime (Generic),ceftazidime (Generic),Generic-to-Generic,0.886,4,50%
Triacin-C (Brand),trilaciclib (Generic),Brand-to-Generic,0.886,5,50%
selumetinib (Generic),selpercatinib (Generic),Generic-to-Generic,0.8858,5,50%
halcinonide urea (Generic),hydrocortisone acetate urea (Generic),Generic-to-Generic,0.8858,10,25%
betaine (Generic),Betagan (Brand),Generic-to-Brand,0.8857,3,50%
Cytomel (Brand),Cytotec (Brand),Brand-to-Brand,0.8857,2,50%
bempedoic acid (Generic),carglumic acid (Generic),Generic-to-Generic,0.8857,7,0%
glycopyrrolate (Generic),glycopyrronium (Generic),Generic-to-Generic,0.8857,4,100%
velaglucerase alfa (Generic),pegunigalsidase alfa (Generic),Generic-to-Generic,0.8855,10,0%
bevacizumab (Generic),benralizumab (Generic),Generic-to-Generic,0.8848,3,25%
pemigatinib (Generic),pexidartinib hydrochloride (Generic),Generic-to-Generic,0.8848,3,25%
Fenofibric Acid (Brand),ethacrynic acid (Generic),Brand-to-Generic,0.8844,8,0%
Fenofibric Acid (Brand),tranexamic acid (Generic),Brand-to-Generic,0.8844,8,0%
elosulfase alfa (Generic),taliglucerase alfa (Generic),Generic-to-Generic,0.8844,8,75%
afatinib (Generic),dasatinib (Generic),Generic-to-Generic,0.8843,2,50%
afatinib (Generic),lapatinib (Generic),Generic-to-Generic,0.8843,2,75%
afatinib mesylate (Generic),dasatinib (Generic),Generic-to-Generic,0.8843,2,50%
afatinib mesylate (Generic),lapatinib (Generic),Generic-to-Generic,0.8843,2,75%
loxapine (Generic),clozapine (Generic),Generic-to-Generic,0.8843,2,0%
cysteamine hydrochloride (Generic),cholestyramine (Generic),Generic-to-Generic,0.8843,6,25%
carglumic acid (Generic),zoledronic acid (Generic),Generic-to-Generic,0.8842,8,0%
sildenafil citrate (Generic),arimoclomol citrate (Generic),Generic-to-Generic,0.8842,9,0%
methylene blue (Generic),methylergonovine maleate (Generic),Generic-to-Generic,0.8839,8,75%
gilteritinib (Generic),ritlecitinib (Generic),Generic-to-Generic,0.8838,4,0%
bempedoic acid (Generic),mefenamic acid (Generic),Generic-to-Generic,0.8838,6,0%
elosulfase alfa (Generic),alglucosidase alfa (Generic),Generic-to-Generic,0.8836,8,75%
bicisate dihydrochloride (Generic),pramipexole dihydrochloride (Generic),Generic-to-Generic,0.8836,9,0%
Tham (Brand),Thalomid (Brand),Brand-to-Brand,0.8833,4,25%
Ultiva (Brand),Ultravist (Brand),Brand-to-Brand,0.8833,5,75%
brevital sodium (Generic),Brevibloc (Brand),Generic-to-Brand,0.8833,4,75%
Carbaglu (Brand),carbachol (Generic),Brand-to-Generic,0.8833,4,100%
Carbaglu (Brand),Carbatrol (Brand),Brand-to-Brand,0.8833,4,75%
Brineura (Brand),Brinsupri (Brand),Brand-to-Brand,0.8833,3,75%
Cystagon (Brand),Cystadane (Brand),Brand-to-Brand,0.8833,3,75%
Clarinex (Brand),Clariscan (Brand),Brand-to-Brand,0.8833,4,75%
Prepidil (Brand),Pre-Op Ii (Brand),Brand-to-Brand,0.8833,4,75%
Estrogel (Brand),estradiol acetate (Generic),Brand-to-Generic,0.8833,4,100%
Estrogel (Brand),Estradiol Valerate (Brand),Brand-to-Brand,0.8833,4,100%
Vistaril (Brand),Vistogard (Brand),Brand-to-Brand,0.8833,4,75%
Prevacid (Brand),Prevalite (Brand),Brand-to-Brand,0.8833,3,75%
Tirosint (Brand),tirofiban (Generic),Brand-to-Generic,0.8833,4,50%
Claritin (Brand),Clariscan (Brand),Brand-to-Brand,0.8833,3,75%
macitentan (Generic),aprocitentan (Generic),Generic-to-Generic,0.8833,4,0%
miconazole (Generic),luliconazole (Generic),Generic-to-Generic,0.8833,3,0%
pacritinib (Generic),upadacitinib (Generic),Generic-to-Generic,0.8833,4,0%
methylergonovine maleate (Generic),methylnaltrexone bromide (Generic),Generic-to-Generic,0.8833,8,75%
gadoterate meglumine (Generic),iothalamate meglumine (Generic),Generic-to-Generic,0.8833,8,25%
folic acid (Generic),mefenamic acid (Generic),Generic-to-Generic,0.8829,6,0%
Carbidopa (Brand),carboplatin (Generic),Brand-to-Generic,0.8828,6,75%
Carbidopa (Brand),carboplatin (Generic),Brand-to-Generic,0.8828,6,75%
Thalitone (Brand),thalidomide (Generic),Brand-to-Generic,0.8828,4,100%
Tri-Lo-Mili (Brand),trilaciclib (Generic),Brand-to-Generic,0.8828,4,75%
Thiola Ec (Brand),sodium thiosulfate (Generic),Brand-to-Generic,0.8828,5,25%
bupropion hydrobromide (Generic),fosdenopterin hydrobromide (Generic),Generic-to-Generic,0.8828,10,0%
