ID,Generic Name,Brand Name,Therapeutic Class,Broad Category,Description,Indication
RAW_1255,somapacitan,Sogroya,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Novo Nordisk Inc. Formulation: Solution for Subcutaneous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1256,somatropin,"Genotropin, Humatrope, Ngenla, Norditropin, Nutropin Aq Pen, Omnitrope, Saizen, Serostim, Zomacton",Recombinant Human Growth Hormone [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Lilly. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Recombinant Human Growth Hormone [EPC].
RAW_1257,somatropin recombinant,Zorbtive,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Emd Serono. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1258,sonidegib,Odomzo,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Sun Pharm. Formulation: Capsule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1259,sonrotoclax,Beqalzi,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Beone Medicines Usa. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1260,sorafenib,Nexavar,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Bayer Hlthcare. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_1261,sorbitol and mannitol,Sorbitol-Mannitol,Osmotic Diuretic [EPC],Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Otsuka Icu Medcl. Formulation: Solution for Irrigation administration.,Used as a therapeutic agent for indications related to: Osmotic Diuretic [EPC].
RAW_1262,sotagliflozin,Inpefa,Sodium-Glucose Cotransporter 2 Inhibitor [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Lexicon Pharms Inc. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Sodium-Glucose Cotransporter 2 Inhibitor [EPC].
RAW_1263,sotalol hydrochloride,"Betapace, Betapace Af, Sotylize",Unknown Class,Central Nervous System,FDA Approved Prescription Drug. Manufactured by Azurity. Formulation: Solution for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1264,sotalol hydrochloride af,Sotalol Hydrochloride Tables Af,Unknown Class,Central Nervous System,FDA Approved Prescription Drug. Manufactured by Regcon Holdings. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1265,sotorasib,Lumakras,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Amgen Inc. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1266,sparsentan,Filspari,Endothelin Receptor Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Travere. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Endothelin Receptor Antagonist [EPC].
RAW_1267,spesolimab,Spevigo,Interleukin-36 Receptor Antagonist [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Boehringer Ingelheim Pharmaceuticals Inc. Formulation: Injectable for Intravenous administration.,Used as a therapeutic agent for indications related to: Interleukin-36 Receptor Antagonist [EPC].
RAW_1268,spinosad,Natroba,Pediculicide [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Cipher. Formulation: Suspension for Topical administration.,Used as a therapeutic agent for indications related to: Pediculicide [EPC].
RAW_1269,spironolactone,Aldactone,Aldosterone Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Pfizer. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Aldosterone Antagonist [EPC].
RAW_1270,stiripentol,Diacomit,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Biocodex Sa. Formulation: For Suspension for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1271,succimer,"Chemet, Nephroscan",Lead Chelator [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Recordati Rare. Formulation: Capsule for Oral administration.,Used as a therapeutic agent for indications related to: Lead Chelator [EPC].
