formulation_id,generic_name_display,generic_name_normalized,ingredient_count,component_split_method
FORM_da41be46e56ecac8cd8e,Losartan Potassium + Amlodipine (as besylate),losartan potassium + amlodipine (as besylate),2,explicit_plus
FORM_f40a1fd554574d149dd4,Paracetamol + Tramadol,paracetamol + tramadol,2,explicit_plus
FORM_97b1af30e3de0a73d57f,Sugammadex (as sodium,sugammadex (as sodium,1,single
FORM_f6ed3741518d07b28c30,Multivitamins + Chlorella Growth Factor + Lysine + Zinc,multivitamins + chlorella growth factor + lysine + zinc,4,explicit_plus
FORM_92ab83de0c67de39144b,Linagliptin +Metformin HC1,linagliptin +metformin hc1,2,explicit_plus
FORM_8b47a395b20792681167,Linagliptin + Metformin HC1,linagliptin + metformin hc1,2,explicit_plus
FORM_66757f508fc695adb5f9,Bupivacaine Hydrochloride in 8% Dextrose,bupivacaine hydrochloride in 8% dextrose,1,single
FORM_4e8a2785229c82d058f9,Pantoprazole + Domperidone,pantoprazole + domperidone,2,explicit_plus
FORM_251db7d5ad9d677712ee,Ibufam 200,ibufam 200,1,single
FORM_ad86c117442c59bd78de,Ibufam 400,ibufam 400,1,single
FORM_b6f2cd6d9d987504d915,Dapoxetine (as hydrochloride),dapoxetine (as hydrochloride),1,single
FORM_1f343f48ebcc5f21fa21,Sultamicillin (as tosylate dehydrate),sultamicillin (as tosylate dehydrate),1,single
FORM_3c3a57b615deec1c60ea,Phytodiv,phytodiv,1,single
FORM_8b5a0f85041da32ff5bb,Dapagliflozin + Metformin (as Hydrochloride),dapagliflozin + metformin (as hydrochloride),2,explicit_plus
FORM_3890b0ae861ec0f8b245,Ketotifen fumarate,ketotifen fumarate,1,single
FORM_48d68aede85d49cfe910,Guaifenesin + Dextromethorphan Hydrobromide,guaifenesin + dextromethorphan hydrobromide,2,explicit_plus
FORM_821e1feb05640358adfe,Tiropramide Hydrochloride,tiropramide hydrochloride,1,single
FORM_cd0d889ced805322c255,Irbesartan + Hydrochlorothiazide + Hydrochlorothiazide,irbesartan + hydrochlorothiazide + hydrochlorothiazide,3,explicit_plus
FORM_69ab2a5ec5f3fb1dc64f,Ciprofloxacin + Dexamethasone,ciprofloxacin + dexamethasone,2,explicit_plus
FORM_2db5ae074b2ab2a395da,Sitagliptin + Metformin (as hydrochloride),sitagliptin + metformin (as hydrochloride),2,explicit_plus
FORM_f4ed4b315e947fc7e04c,Eribulin Mesylate,eribulin mesylate,1,single
FORM_920edde59b13e5a5f943,Atorvastatin,atorvastatin,1,single
FORM_535345dbdb061e33b07e,Salbutamol (as suifate),salbutamol (as suifate),1,single
FORM_2ae6f4e394bd2d7bc867,Butorphanol Tartrate,butorphanol tartrate,1,single
FORM_cf0f6920fabc035fd5bd,Alfacalcidol + Minerals,alfacalcidol + minerals,2,explicit_plus
FORM_40bfe2dab0e3cae90b2a,Calcipotriol (as monohydrate) + Betametahasone (as dipropionate),calcipotriol (as monohydrate) + betametahasone (as dipropionate),2,explicit_plus
FORM_6c699a70b8d53e2e04df,Micafungin (as sodium),micafungin (as sodium),1,single
FORM_ae8c2e731c76ff2da87c,Ferrous Sulfate + Folic Acid Pyridoxine HCl + Methylcobalamin,ferrous sulfate + folic acid pyridoxine hcl + methylcobalamin,3,explicit_plus
FORM_d37080a713c962805947,Multivitamins + Iron (as Ferrous fumarate),multivitamins + iron (as ferrous fumarate),2,explicit_plus
FORM_67013607cf55b40e7a10,Telmisartan +Amlodipine (as besilate),telmisartan +amlodipine (as besilate),2,explicit_plus
FORM_c31ce8399469137c0422,Polymyxin B,polymyxin b,1,single
FORM_e8681ad30f703ce03dee,Megestrol Acetate,megestrol acetate,1,single
FORM_bb08e56151782893edc9,Sitagliptin (as Monohydrate Phosphate) + Metformin Hydrochloride (in extended-release form),sitagliptin (as monohydrate phosphate) + metformin hydrochloride (in extended-release form),2,explicit_plus
FORM_aef3ab8693d24380d15e,Betamethasone (dipropionate) + Gentamicin,betamethasone (dipropionate) + gentamicin,2,explicit_plus
FORM_be350d09010a3331b2cd,Cefepime (as hydrochloride with arginine),cefepime (as hydrochloride with arginine),1,single
FORM_6d8053718907701e1200,Salbutamol (as sulfate) / Guaifenesin,salbutamol (as sulfate) / guaifenesin,2,explicit_slash
FORM_4a076e3905f817ef44e8,Ascorbic Acid + dl-a-tocopheryl Acetate (Vitamin E) + Zinc,ascorbic acid + dl-a-tocopheryl acetate (vitamin e) + zinc,3,explicit_plus
FORM_9a02c59ec3cc2b548ea6,Cetirizine (as dihydrochloride) + Hydrochloride,cetirizine (as dihydrochloride) + hydrochloride,2,explicit_plus
FORM_e70fe261a404e481180a,Thiamine Mononitrate (Vit. B1) Pyridoxine Htdrochloride (Vit. B6) Cyanocobalamin (Vit. B12),thiamine mononitrate (vit. b1) pyridoxine htdrochloride (vit. b6) cyanocobalamin (vit. b12),1,single
FORM_d9ff72a1edeac29f2817,Sitagliptin (as monohydrate phosphate),sitagliptin (as monohydrate phosphate),1,single
FORM_76670e8f704490d35d2f,Rapamol 200,rapamol 200,1,single
FORM_4ae76236fab77f58e84e,: Amlodipine (as besilate) + Atorvastatin (as calcium),: amlodipine (as besilate) + atorvastatin (as calcium),2,explicit_plus
FORM_4e580ee8c56c9a80681b,Iron Sulfate + Folic Acid,iron sulfate + folic acid,2,explicit_plus
FORM_e63ddb81083328d7b273,Danazol,danazol,1,single
FORM_3aae7f1e4c74648d4b91,Purified Water (Distilled Water),purified water (distilled water),1,single
FORM_ba7b2446fcd5bc9a2797,Amlodipine (as besilate) + Valsartan + Hydrochlorothiazide,amlodipine (as besilate) + valsartan + hydrochlorothiazide,3,explicit_plus
FORM_e6d6d8fb012dfa47aa24,Thiamine nitrate (Vitamin B1)+ Pyridoxine hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12),thiamine nitrate (vitamin b1)+ pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12),3,explicit_plus
FORM_bbd3cb845e7522a07052,Abiraterone (as acetate),abiraterone (as acetate),1,single
FORM_11f64ad3e91968c3f364,Duloxetine,duloxetine,1,single
FORM_07bcbd510992b22d62bc,Hydroxychloroquine,hydroxychloroquine,1,single
FORM_ffafdc097b3127b0ccde,Reduced Glutathione,reduced glutathione,1,single
FORM_aadbabbc626f82ac7614,Linagliptin + Metformin hydrochloride (in extended- release form),linagliptin + metformin hydrochloride (in extended- release form),2,explicit_plus
FORM_5990e1925e5c0d58def3,Ketorolac (as trometamol),ketorolac (as trometamol),1,single
FORM_796088b6a332c49de03c,Salbutamol Sulfate,salbutamol sulfate,1,single
FORM_a2bb9a6912c91be5df99,ASCORBIC ACID ( as Sodium Ascorbate),ascorbic acid ( as sodium ascorbate),1,single
FORM_322e8db5b2caaea2f4bc,Vitamins B1 + B6 + B12 (see reverse for formulation),vitamins b1 + b6 + b12 (see reverse for formulation),3,explicit_plus
FORM_4963886fb77f6cf1a5b6,Vitamin B1 + Be + B12,vitamin b1 + be + b12,3,explicit_plus
FORM_08105b0dc577047afb36,Thiamine HCl + Pyridoxine HCl + Cyanocobalamin,thiamine hcl + pyridoxine hcl + cyanocobalamin,3,explicit_plus
FORM_e1b7ac508d074c12a302,Acetazolamide,acetazolamide,1,single
FORM_dd2b789b8239a6dbc6ac,Paracetamol +Tramadol Hydrochloride,paracetamol +tramadol hydrochloride,2,explicit_plus
FORM_151390b54f9589f7d5f9,Setraline (As Hydrochloride),setraline (as hydrochloride),1,single
FORM_344dfbf92570ea426868,Doxazosin (As mesilate),doxazosin (as mesilate),1,single
FORM_2b5bdefdb4624f57a3c5,Clindamycin (As Palmitate Hydrochloride),clindamycin (as palmitate hydrochloride),1,single
FORM_7f3e98279435737e2199,Ciprofloxacin ( as Hydrochloride ),ciprofloxacin ( as hydrochloride ),1,single
FORM_4fc202048e65a533d95c,Phenytoin,phenytoin,1,single
FORM_eb26d717325f40b6caf4,Streptomycin (as Sulfate),streptomycin (as sulfate),1,single
FORM_9748b5df18c613f229f8,Celebrex,celebrex,1,single
FORM_429f464627d75a73e0fb,Ceftriaxone As Sodium,ceftriaxone as sodium,1,single
FORM_b3616e4ab602d3c9fbfb,Ethinylestradiol + Levonorgestrel; Ferrous Fumarate,ethinylestradiol + levonorgestrel; ferrous fumarate,2,explicit_plus
FORM_fbed4d79ea80777dff22,Oxytetracycline Hydrochloride/Polymyxin B Sulfate,oxytetracycline hydrochloride/polymyxin b sulfate,2,explicit_slash
FORM_b2598cbbb935a4295da4,Sultamicillin tosylate,sultamicillin tosylate,1,single
FORM_9747c6899725c34d6609,Cefuroxime (as axetil0,cefuroxime (as axetil0,1,single
FORM_8a72dcfcca5121f85c99,Cefuroxime (as axetll),cefuroxime (as axetll),1,single
FORM_aba1054d29473b2023cb,Amlodipine,amlodipine,1,single
FORM_638a0fcca54e92f7f02e,Vitamin B Complex (see reverse),vitamin b complex (see reverse),1,single
FORM_312573f606192c9a46cf,Vitamin B-Complex (see reverse),vitamin b-complex (see reverse),1,single
FORM_605fb2ce541a21a2ba58,Guafenesin+Salbutamol (As Sulfate),guafenesin+salbutamol (as sulfate),2,explicit_plus
FORM_8668bc67e62b00feacdf,Solu-Cortef,solu-cortef,1,single
FORM_4275a912be2d4afb870a,Cefitriaxone (as sodium),cefitriaxone (as sodium),1,single
FORM_e828346319c19f1029f6,Guaifenesin/ Salbutamol (as Sulfate),guaifenesin/ salbutamol (as sulfate),2,explicit_slash
FORM_66f838b8eb70bf343419,Solu-Medrol,solu-medrol,1,single
FORM_ef21a73ac92bc62584b7,Losartan (As Potassium) / Hydrochlorothiazide,losartan (as potassium) / hydrochlorothiazide,2,explicit_slash
FORM_a6f8fad67bcef7a47ceb,Pioglitazone,pioglitazone,1,single
FORM_61fe603cfc1bc5a3c90b,Losartan +Hydrochlorothiazide,losartan +hydrochlorothiazide,2,explicit_plus
FORM_688584a60f28f2ad84df,Thiamine Mononitrate (Vit.B1) +Pyridoxine (Vit.B6 + Cyanocobalamine (Vit. B12),thiamine mononitrate (vit.b1) +pyridoxine (vit.b6 + cyanocobalamine (vit. b12),3,explicit_plus
FORM_8fc99bf496ec630781a4,Econazole nitrate + Triamcinolone acetonide,econazole nitrate + triamcinolone acetonide,2,explicit_plus
FORM_1993cf528c63be86706e,Naproxem Sodium,naproxem sodium,1,single
FORM_5894f121b96ff3bd0ff3,Trimetazidine (as dihydrochloride),trimetazidine (as dihydrochloride),1,single
FORM_a4d1cad4075c0a320dc7,Ferrous Fumarate + Folic Acid + Vitamin B12,ferrous fumarate + folic acid + vitamin b12,3,explicit_plus
FORM_362e378b8b3fd2f218a3,Iron (as fumarate) + Folic acid + Cyanocobalamin (Vitamin B12),iron (as fumarate) + folic acid + cyanocobalamin (vitamin b12),3,explicit_plus
FORM_7889dcd82ce110eae648,Paracetamol + Phenylpropanolamine HCl + Chlorphenamine Maleate,paracetamol + phenylpropanolamine hcl + chlorphenamine maleate,3,explicit_plus
FORM_900b91a46798d72b1f0c,Neomycin + Gramicidin + Nystatin + Triamcinolone Acetonide,neomycin + gramicidin + nystatin + triamcinolone acetonide,4,explicit_plus
FORM_247707f64aa70abdaa55,Losartan Potassium + Amlodipine Besilate,losartan potassium + amlodipine besilate,2,explicit_plus
FORM_4f456e9582e9e7903004,Levocetirizine (as dihydrochloride),levocetirizine (as dihydrochloride),1,single
FORM_fc7a2a90e79154e37831,Cefixime As Trihydrate,cefixime as trihydrate,1,single
FORM_a2950c091503cb17bd1d,Multivitamins + Minerals + Amino Acids + Deanol + Ginseng,multivitamins + minerals + amino acids + deanol + ginseng,5,explicit_plus
FORM_82cd2df395033023ff9e,Carbocisteine + Sodium Citrate,carbocisteine + sodium citrate,2,explicit_plus
FORM_cb6df7536750b26d4b9d,Carbocisteine / Sodium Citrate,carbocisteine / sodium citrate,2,explicit_slash
