brand_id,formulation_id
BRAND_1663004c595af86c75bc,FORM_ad0073f86563be2f9231
BRAND_0dc37b66abaa08328131,FORM_45d9f97e5499a1b07888
BRAND_b9cd1fc7103db25f21b3,FORM_0a341b236959d93afac3
BRAND_f9a8fcc9c39b49855e37,FORM_8446a83051742edd2cea
BRAND_e3f9ea9c610be5654937,FORM_cfde5ae9170ad0afe5df
BRAND_61a7500b1f5e0e7de3eb,FORM_3de3043f5f774bed98e8
BRAND_0e790e36a8fa7359f417,FORM_3de3043f5f774bed98e8
BRAND_e2e0633bdd4dde808d78,FORM_5b975f945aec7be66998
BRAND_efe1342e15792b5dd452,FORM_0c36608ed807cffce6a7
BRAND_38e6edc8169fbe8defe3,FORM_45d9f97e5499a1b07888
BRAND_38e6edc8169fbe8defe3,FORM_924f88f4668810b4c0f6
BRAND_335e80a5430f8514be3a,FORM_cee6b2915542c057131d
BRAND_c164d4f8997c354eeb29,FORM_83c84feb61bad0027702
BRAND_67826a6a0b62ae2ce80a,FORM_dae20e4e49f48688b901
BRAND_d9d975d44adf9a97bec5,FORM_79b953a8de4b6a9edd8d
BRAND_72351ae151b590d04b54,FORM_994a55d09d6026a8622d
BRAND_72351ae151b590d04b54,FORM_7cacd2fee52594d2c2eb
BRAND_96f6d6f98e53d72f7d0d,FORM_235b6ea98b1813d53515
BRAND_b0d78c8e6b84e373f72b,FORM_31d7654b143571f54757
BRAND_ea15ef8e6d081c21d63f,FORM_269b57c16e41f833839b
BRAND_aa487cda417edb4377f1,FORM_ff094a0fa58d5902e5f7
BRAND_e1a81b936fd5df7244e7,FORM_6c03649d331ba77a9265
BRAND_1c8f70432c687ad3b345,FORM_618fa4dd4d7d477d7bd9
BRAND_5c242bb60ea688eaf1ab,FORM_461775b3c42085cc6353
BRAND_333b0659728a55025582,FORM_dd8d2e54d3afc8c229d2
BRAND_7000f0900bde203085e5,FORM_ca4f8c23d6a93676fd5d
BRAND_46727a41595d5b73e4ff,FORM_618fa4dd4d7d477d7bd9
BRAND_ec20b798bcdbe6c605a7,FORM_3ac4c177fdaa861a7240
BRAND_f291f03694ee1637ccf3,FORM_01997dc4c07d2ebc4616
BRAND_c43257bf8e9da7646b25,FORM_4b0924bb04f80e915611
BRAND_c93c71c29ddab8cc6cb9,FORM_92505349b4c764bbc810
BRAND_d9af2dbf2b2b1534888d,FORM_be386c1844c6e1d6734d
BRAND_5ec11c82d546fd140f6b,FORM_d92e5665611079991965
