ingredient_id,ingredient_name_display,ingredient_name_normalized
ING_2412dc44ca55f44d546a,Clobetasol Propionate,clobetasol propionate
ING_5478dcaf141efc088e89,Prednisolone (as acetate),prednisolone (as acetate)
ING_7ae669b86fba6d9a9d8b,Furosemide,furosemide
ING_1b371bccc2189423e52d,Furosemide (as sodium),furosemide (as sodium)
ING_d095cdb8e3f599b95304,Sodium Fusidate,sodium fusidate
ING_5b85e2d4bec96a7c6605,Fluocinolone Acetonide,fluocinolone acetonide
ING_10197634374b09fb0ebb,Polymyxin B Sulfate,polymyxin b sulfate
ING_ab12cbcfcbe5f8f811be,Neomycin Sulfate,neomycin sulfate
ING_54238e9415df5dffbf4b,Paracetamol,paracetamol
ING_95f5790c1bec483d9acb,Erythromycin (as estolate),erythromycin (as estolate)
ING_a7f187a6f4f060d524a6,IBUPROFEN,ibuprofen
ING_aa260d27847dec909fc5,Aspirin,aspirin
ING_a6e0d5762ca8302823df,Chlorphenamine Maleate,chlorphenamine maleate
ING_68fdb3b8d127990d7a78,Glutamic Acid,glutamic acid
ING_c93862f93e9ca21483bf,Dicalcium Phosphate,dicalcium phosphate
ING_ed191cf5067b5d8ed043,Thiamine Hydrocloride (Vitamin B1),thiamine hydrocloride (vitamin b1)
ING_bb8ff8bf0e532db14fe2,Cyanocobalamin (Vitamin B12),cyanocobalamin (vitamin b12)
ING_d9d9aea94fabd6193113,Furazolidone,furazolidone
ING_fd286324950e9fef7b25,Norethisterone,norethisterone
ING_0103bbf84ff0c39d123a,Digoxin,digoxin
ING_a64cf55fb4c002d6876c,Allopurinol,allopurinol
ING_8dbe29677dff54fc1f07,Thiamine mononitrate (Vitamin B1),thiamine mononitrate (vitamin b1)
ING_57c363d8c1128168c0b3,Pyridoxine hydrochloride (Vitamin B6),pyridoxine hydrochloride (vitamin b6)
ING_4a18765038afd54a03c1,6% Dextran 70 In 0.9% Sodium Chloride,6% dextran 70 in 0.9% sodium chloride
ING_1ee3f92ea171ffb75021,Balanced Multiple Replacement Solution with 5% Dextrose,balanced multiple replacement solution with 5% dextrose
ING_ad1b5244ad05ed1cf88b,Warfarin sodium (as clathrate),warfarin sodium (as clathrate)
ING_e26897f4fec86172b62b,Betamethasone (As Valerate),betamethasone (as valerate)
ING_cf529a56d1a7739d3a83,Hyoscine-N-Butyl-Bromide,hyoscine-n-butyl-bromide
ING_d9f6fde8d006bbeb49cd,Thiamazole,thiamazole
ING_02fb3e88a3389ba2d68e,Aminophylline,aminophylline
ING_125a54a054c664009808,Atropine (as sulfate),atropine (as sulfate)
ING_15a27c0d7f63de89f238,Calcium gluconate,calcium gluconate
ING_b0c215f7ef31035cecc6,Dextrose Monohydrate,dextrose monohydrate
ING_67de348309f821030837,Ephedrine Sulfate,ephedrine sulfate
ING_d13d73d7874aa1d24c20,Epinephrine,epinephrine
ING_763778ff22509dd858c1,Diphenhydramine Hydrochloride,diphenhydramine hydrochloride
ING_4c90339a265e1e6fa226,0.9% Sodium Chloride,0.9% sodium chloride
ING_fc30c3873522f71e1ef9,Tranexamic Acid,tranexamic acid
ING_a24eaea02dbbc5e3257f,Policresulen,policresulen
